,Name,Rating,No. of Reviews,Type of Company
142,vivo,4.0,4.9k,Consumer Electronics & Appliances 
143,Amdocs,3.6,4.9k,Software Product 
144,JBM Group,3.9,4.9k,Auto Components 
145,Varun Beverages,4.0,4.9k,Beverage 
146,Ecom Express,4.1,4.8k,Logistics 
147,Utkarsh Small Finance Bank,3.6,4.8k,Banking 
148,Nagarro,3.9,4.8k,IT Services & Consulting 
149,Eviden,3.6,4.8k,IT Services & Consulting 
150,Randstad,3.7,4.8k,Recruitment 
151,EY Global Delivery Services ( EY GDS),3.5,4.7k,IT Services & Consulting 
152,Bosch,4.1,4.7k,Auto Components 
153,Havells,3.9,4.7k,Electrical Equipment 
154,L&T Finance,3.9,4.7k,NBFC 
155,Intas Pharmaceuticals,4.1,4.7k,Pharma 
156,Hewlett Packard Enterprise,4.0,4.7k,IT Services & Consulting 
157,Aditya Birla Fashion and Retail,4.0,4.7k,Fashion & Textile 
158,Cars24,3.4,4.6k,Internet 
159,R1 RCM,3.8,4.6k,BPO 
160,Hetero,3.9,4.6k,Pharma 
161,Tata AIA Life Insurance,3.9,4.6k,Insurance 
162,Mahindra Logistics,3.7,4.6k,Logistics 
163,Home Credit Finance,4.0,4.6k,NBFC 
164,Dell,3.8,4.6k,Consumer Electronics & Appliances 
165,Berger Paints,3.7,4.5k,Chemicals 
166,Deutsche Bank,3.8,4.5k,Banking 
167,Lenskart,3.3,4.5k,Internet 
168,OPPO,3.9,4.5k,Consumer Electronics & Appliances 
169,Hyundai Motor India Limited,4.1,4.5k,Automobile 
170,Motilal Oswal Financial Services,3.7,4.5k,Financial Services 
171,TeamLease Services,3.9,4.4k,Recruitment 
172,VE Commercial Vehicles,3.9,4.4k,Automobile 
173,Thermax Limited,4.2,4.3k,Industrial Machinery 
174,Jubilant Foods Works,3.7,4.3k,Hospitality 
175,Macleods Pharmaceuticals,3.7,4.3k,Pharma 
176,Carelon Global Solutions,3.9,4.3k,IT Services & Consulting 
177,Aakash Educational Services,3.2,4.3k,Education & Training 
178,Bajaj Auto,3.8,4.2k,Automobile 
179,Jindal Steel Limited,3.9,4.2k,Iron & Steel 
180,State Street Corporation,3.5,4.2k,Financial Services 
181,Hindalco Industries,4.2,4.2k,Metals & Mining 
182,LG Electronics,3.8,4.2k,Consumer Electronics & Appliances 
183,Kogta Financial India Limited,4.6,4.2k,NBFC 
184,HDFC ERGO General Insurance,4.0,4.1k,Insurance 
185,Royal Enfield,4.2,4.1k,Automobile 
186,DCB Bank,3.8,4.1k,Banking 
187,John Deere,4.0,4.1k,Industrial Machinery 
188,RBL Bank,3.5,4.1k,Banking 
189,Tata Communications,3.8,4.1k,Telecom 
190,Publicis Sapient,3.2,4.1k,IT Services & Consulting 
191,Cummins,4.3,4k,Industrial Machinery 
192,Alembic Pharmaceuticals,3.9,4k,Pharma 
193,Bank of America,4.1,4k,Banking 
194,Cloudnine Hospital,4.5,4k,Healthcare 
195,Pidilite Industries,4.2,4k,Chemicals 
196,Grasim Industries,4.0,4k,Building Material 
197,Aditya Birla Sun Life Insurance,4.0,3.9k,Insurance 
198,Oyo Rooms,3.0,3.9k,Hospitality 
199,Kyndryl,4.0,3.9k,IT Services & Consulting 
200,PNB MetLife,3.3,3.9k,Insurance 
201,American Express,4.1,3.9k,Financial Services 
202,ADP Private Limited,3.8,3.9k,Software Product 
203,Subros,3.8,3.9k,Auto Components 
204,Aditya Birla Capital,3.8,3.9k,NBFC 
205,KPIT Technologies,2.8,3.9k,Software Product 
206,Escorts Kubota Limited,4.1,3.9k,Industrial Machinery 
207,Viatris,4.1,3.8k,Pharma 
208,XpressBees,4.2,3.8k,Logistics 
209,Altruist Technologies,4.4,3.8k,BPO 
210,Maersk,3.9,3.8k,Logistics 
211,PVR INOX,3.9,3.8k,Media & Entertainment 
212,JK Cement,4.0,3.8k,Building Material 
213,Birlasoft,3.4,3.8k,IT Services & Consulting 
214,Reliance Communications,4.0,3.8k,Telecom 
215,Synechron,3.4,3.8k,IT Services & Consulting 
216,Glenmark Pharmaceuticals,3.8,3.8k,Pharma 
217,PhonePe,4.0,3.7k,FinTech 
218,Kotak Mahindra Life Insurance Company,3.5,3.7k,Insurance 
219,Bharat Electronics,4.2,3.7k,Electronics Manufacturing 
220,Dabur,3.8,3.7k,FMCG 
221,Blinkit,3.8,3.7k,Internet 
222,Sodexo,4.0,3.7k,Hospitality 
223,Cogent E Services,3.1,3.7k,BPO 
224,Godrej & Boyce Manufacturing,3.8,3.7k,Consumer Electronics & Appliances 
225,Abbott,4.1,3.7k,Pharma 
226,Ipca Laboratories,3.8,3.7k,Pharma 
227,Aarti Industries,4.1,3.7k,Agro Chemicals 
228,UNO Minda,4.0,3.6k,Auto Components 
229,Samvardhana Motherson Group,3.7,3.6k,Auto Components 
230,ArcelorMittal Nippon Steel India,4.1,3.6k,Iron & Steel 
231,Reliance Projects & Property Management Services,4.0,3.6k,Other 
232,Reliance Digital,4.1,3.6k,Retail 
233,IGT Solutions,3.2,3.6k,BPO 
234,MRF Tyres,3.6,3.6k,Auto Components 
235,Indian Oil Corporation,4.4,3.6k,Oil & Gas 
236,"NTT DATA, Inc.",3.9,3.5k,IT Services & Consulting 
237,Alkem Laboratories,3.9,3.5k,Pharma 
238,Johnson Controls,3.5,3.5k,Industrial Automation 
239,[24]7.ai,3.4,3.5k,Hospitality 
240,Honda Motorcycle & Scooter,4.1,3.5k,Automobile 
241,Vishal Mega Mart,3.7,3.5k,Retail 
242,Hindustan Coca Cola Beverages,4.0,3.5k,Beverage 
243,Barclays,3.7,3.5k,Banking 
244,UBS,3.8,3.5k,Financial Services 
245,DTDC Express,3.7,3.5k,Logistics 
